STATE,ST,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Pennsylvania,PA,2003,1757066.0,19811545,1419644,6912678,11479223,20626459,10151195,5765734,810211.0,1848552
Pennsylvania,PA,2004,1756012.0,21104028,1610741,7196172,12297115,22054811,10695295,6251075,859706.0,1941824
Pennsylvania,PA,2005,1755560.0,22657782,1750988,7667114,13239680,23183924,11284717,6638401,920319.0,1914407
Pennsylvania,PA,2006,1752402.0,23950553,1794419,7973651,14182483,24195122,11675380,7025760,966663.0,2009924
Pennsylvania,PA,2007,1760451.0,25334577,1821479,8593421,14919677,25627083,11994620,7333616,1022492.0,2533079
Pennsylvania,PA,2008,1718588.0,26357235,1868700,9032615,15455920,26597713,12375013,7655651,1095105.0,2537699
Pennsylvania,PA,2009,1687145.0,26755585,1811141,9858461,15085983,27328680,12803821,7637090,1155635.0,2411908
Pennsylvania,PA,2010,1682887.0,27883991,2977089,9430947,15475955,28231191,13442543,7774897,1183764.0,2208448
Pennsylvania,PA,2011,1670854.0,28492510,3371827,9261234,15859449,28810721,13761915,7947108,1207139.0,2189151
Pennsylvania,PA,2012,1644759.0,27881568,2145208,9561500,16174860,27851918,13450420,7682906,1170594.0,1735626
Pennsylvania,PA,2013,1623694.0,28484645,2049113,9764558,16670974,28495118,15456205,7737010,1178563.0,1501024
Pennsylvania,PA,2014,1605292.0,29068069,1812609,10272392,16983068,28620630,15352999,7889064,1163079.0,1566997
Pennsylvania,PA,2015,1589429.0,29967185,1857885,10532452,17576848,29690645,16058338,8196747,1050310.0,1663209
Pennsylvania,PA,2016,1572593.0,31077289,1904293,11181046,17991950,30925177,16717308,8464573,1079198.0,1793713
Rhode Island,RI,2000,155351.0,1464820,81655,610999,772166,1388454,845667,421472,57496.0,30587
Rhode Island,RI,2001,156275.0,1592622,88341,663991,840290,1504125,920848,464571,49573.0,27392
Rhode Island,RI,2002,156624.0,1633707,96488,676371,860848,1600087,964169,484397,56173.0,27003
Rhode Island,RI,2003,157286.0,1728055,109011,713197,905847,1646238,971700,525727,64258.0,31360
Rhode Island,RI,2004,156997.0,1836758,132370,739698,964690,1745707,1034632,561479,68482.0,28171
Rhode Island,RI,2005,153596.0,1903472,145957,747359,1010156,1790591,1023496,616544,74850.0,20070
Rhode Island,RI,2006,150112.0,2004709,149493,797349,1057867,1983578,1120778,690355,80127.0,28706
Rhode Island,RI,2007,147861.0,2100679,165167,817792,1117720,2082332,1177636,731694,85397.0,20234
Rhode Island,RI,2008,143812.0,2173888,164966,836509,1172413,2175172,1229747,765970,88156.0,28023
Rhode Island,RI,2009,141521.0,2179714,206225,765069,1208420,2171376,1224158,773039,90493.0,24161
Rhode Island,RI,2010,141023.0,2207123,247217,736525,1223381,2187163,1238257,758963,89242.0,40673
Rhode Island,RI,2011,139157.0,2212352,234111,768713,1209528,2198940,1260021,736651,93820.0,43726
Rhode Island,RI,2012,137400.0,2208278,204682,779000,1224596,2190431,1272285,727287,95213.0,33633
Rhode Island,RI,2013,136401.0,2282659,193393,841875,1247391,2231413,1265936,765178,96721.0,35089
Rhode Island,RI,2014,135084.0,2313010,186551,867512,1258947,2258076,1277445,782773,92710.0,37897
Rhode Island,RI,2015,134574.0,2367068,184718,908963,1273387,2326473,1322055,792525,90209.0,50889
Rhode Island,RI,2016,133856.0,2401541,175379,940989,1285173,2358654,1340088,811796,90433.0,45441
South Carolina,SC,2000,666780.0,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840.0,716110
South Carolina,SC,2001,676681.0,5437615,430966,2924025,2082624,5492539,2660503,1545738,297845.0,843817
South Carolina,SC,2002,674347.0,5627004,494207,2857497,2275300,5897462,2832106,1620800,315248.0,956612
South Carolina,SC,2003,691736.0,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241.0,865462
South Carolina,SC,2004,696376.0,5961494,616660,2741127,2603707,6138231,2971895,1780063,332280.0,828530
South Carolina,SC,2005,701176.0,6337711,639308,2832245,2866158,6572191,3134658,1903030,342107.0,938347
South Carolina,SC,2006,699027.0,6752813,664113,3023114,3065586,7148083,3310899,2071441,366285.0,1128702
South Carolina,SC,2007,701580.0,7130274,680718,3120416,3329140,7660995,3481608,2157719,384965.0,1290372
South Carolina,SC,2008,710685.0,7743317,693967,3916453,3132897,8167262,3745507,2467160,389371.0,1179283
South Carolina,SC,2009,714290.0,7669733,734602,3654658,3280473,8427391,3854229,2463391,398422.0,1318784
South Carolina,SC,2010,715590.0,7755419,1058473,3377539,3319407,8242553,3797945,2445636,389554.0,1203253
South Carolina,SC,2011,713511.0,7772777,1041572,3338715,3392490,7961448,3689782,2428477,388361.0,1016126
South Carolina,SC,2012,715744.0,7889771,848254,3586738,3454779,7948441,3749691,2489094,408649.0,869025
South Carolina,SC,2013,722249.0,8254462,814137,3819285,3621040,8224795,3933177,2621911,426662.0,853410
South Carolina,SC,2014,729386.0,8417698,812536,3902923,3702239,8452743,4035914,2747427,430577.0,862750
South Carolina,SC,2015,737401.0,8759944,836137,4094766,3829041,8783362,4123140,2893109,447019.0,928112
South Carolina,SC,2016,743320.0,9161667,840786,4262164,4058717,9187299,4274682,3013294,458918.0,1073334
South Dakota,SD,2000,130279.0,868161,105960,302405,459796,898609,443779,245481,36959.0,144296
South Dakota,SD,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663
South Dakota,SD,2002,127129.0,930874,127130,346086,457658,981977,485846,271549,42634.0,149374
South Dakota,SD,2003,127632.0,965778,148498,328576,488704,993823,499480,295468,42694.0,122247
South Dakota,SD,2004,125156.0,1007135,156117,343216,507802,1012096,521961,306877,44816.0,105677
South Dakota,SD,2005,124862.0,1053504,176738,350316,526450,1059303,539413,316892,46872.0,124727
South Dakota,SD,2006,121718.0,1086433,177452,355719,553262,1052315,552199,334845,48881.0,86227
South Dakota,SD,2007,121158.0,1136570,174096,371645,590829,1096568,573916,335382,50283.0,105370
South Dakota,SD,2008,121606.0,1190917,180925,394721,615271,1172715,609848,351235,61081.0,114678
South Dakota,SD,2009,126624.0,1258876,201889,412798,644189,1273527,645912,379946,56772.0,154459
South Dakota,SD,2010,123555.0,1292742,250554,398601,643587,1281632,660064,382212,57639.0,146273
South Dakota,SD,2011,125613.0,1297661,262395,374648,660618,1350617,661519,390655,59757.0,199636
South Dakota,SD,2012,127726.0,1298723,212615,395054,691054,1296971,649023,379791,63166.0,172398
South Dakota,SD,2013,130296.0,1316613,194731,408009,713873,1332496,663258,390637,64999.0,179586
South Dakota,SD,2014,130653.0,1345549,186216,413544,745789,1355439,696235,413254,68154.0,146035
South Dakota,SD,2015,132836.0,1415149,206853,425614,782682,1464781,709363,426257,70128.0,222592
South Dakota,SD,2016,134045.0,1455737,196644,438629,820464,1475864,730176,440580,78149.0,192504
Tennessee,TN,2000,907222.0,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022.0,743326
Tennessee,TN,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777
Tennessee,TN,2002,897695.0,5785857,550490,2544653,2690714,6363357,3478604,1624709,328546.0,762594
Tennessee,TN,2003,905050.0,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055.0,635950
Tennessee,TN,2004,911624.0,6349101,692353,2743825,2912923,6738601,3843346,1796619,356397.0,574810
Tennessee,TN,2005,940769.0,6806262,787269,2962151,3056842,7067521,4120045,1907907,378064.0,483208
Tennessee,TN,2006,953514.0,7195519,793477,3097824,3304218,7395357,4248091,1995464,395656.0,573015
Tennessee,TN,2007,978084.0,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587.0,593354
Tennessee,TN,2008,966963.0,8086152,840919,3711646,3533587,8488521,4709467,2373319,451628.0,735501
Tennessee,TN,2009,971484.0,8112895,870374,3800870,3441651,8611178,4809809,2480290,461464.0,652210
Tennessee,TN,2010,971414.0,8405025,1094293,3834174,3476558,8760367,4934044,2516326,467568.0,627390
Tennessee,TN,2011,986382.0,8679893,1272825,3955476,3451592,8961443,4947165,2635217,479721.0,661195
Tennessee,TN,2012,998638.0,8983224,1257953,4017946,3707325,9256522,5151260,2693334,514174.0,671532
Tennessee,TN,2013,992461.0,9008032,1165801,4097627,3744604,9248235,5191269,2780452,534815.0,564756
Tennessee,TN,2014,992583.0,9237782,1095377,4315952,3826453,9432883,5296570,2805578,536241.0,549104
Tennessee,TN,2015,994530.0,9455920,1122775,4385403,3947742,9562527,5343272,2862499,560697.0,553396
Tennessee,TN,2016,999265.0,9585331,1095415,4395757,4094159,9680512,5401812,2915193,569611.0,553997
Texas,TX,2000,3965971.0,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714.0,4719976
Texas,TX,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465
Texas,TX,2002,4112315.0,32802734,2941562,12930564,16930608,35668486,16826484,9580137,1582967.0,5399775
Texas,TX,2003,4201914.0,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131.0,4764154
Texas,TX,2004,4267330.0,36055119,3782724,13201169,19071226,38150452,18291531,10509643,1798316.0,4812152
Texas,TX,2005,4334611.0,37783715,4095588,13017433,20670694,40302144,18950703,10963041,1883727.0,5592231
Texas,TX,2006,4450272.0,41142403,4735208,13503141,22904054,43394244,20299749,11672256,1980118.0,6170544
Texas,TX,2007,4513835.0,44355326,4423644,15952564,23979118,45920825,21061312,12451077,2073350.0,6654163
Texas,TX,2008,4581517.0,46245975,4501845,19923849,21820281,50205827,22845539,13360064,2214832.0,8133118
Texas,TX,2009,4647205.0,48087531,4913841,19708771,23464919,53575273,23895853,13799383,2289408.0,9297597
Texas,TX,2010,4728815.0,50559500,7984614,18899565,23675321,53810244,25097921,14179639,2401640.0,8055742
Texas,TX,2011,4800196.0,51023159,7818075,19623258,23581826,52691826,25155007,14325757,2474232.0,6556210
Texas,TX,2012,4844744.0,49979753,6140296,19801928,24037529,50215314,23902458,13954303,2497013.0,5538370
Texas,TX,2013,4897523.0,49734537,5695947,18873046,25165544,50674724,24226519,14150552,2585417.0,5472152
Texas,TX,2014,4949469.0,52776853,5643178,20510815,26622860,53096761,25364709,14803918,2682490.0,5766846
Texas,TX,2015,5004866.0,55582029,5830972,20967429,28783628,56255791,26745844,15145619,2783770.0,6765205
Texas,TX,2016,5053291.0,58284155,5953348,22004299,30326508,59314884,27862199,15169007,2855527.0,8332612
Utah,UT,2000,477835.0,2546642,189502,1507711,849429,2478420,1355794,596620,192296.0,270172
Utah,UT,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553
Utah,UT,2002,480526.0,2865058,238599,1680625,945834,2924051,1534954,683525,200572.0,426219
Utah,UT,2003,483066.0,2875622,263030,1607204,1005388,2957874,1508566,705128,205147.0,469251
Utah,UT,2004,487311.0,2997200,299200,1654191,1043809,3066684,1552853,739158,224631.0,479463
Utah,UT,2005,488055.0,3181279,326400,1729443,1125436,3188018,1632553,771298,241992.0,467720
Utah,UT,2006,496507.0,3381146,342862,1825910,1212374,3371338,1709307,821539,255128.0,504723
Utah,UT,2007,504079.0,3656090,343915,1977900,1334275,3618540,1816456,871613,266481.0,579188
Utah,UT,2008,556314.0,4198001,380907,2363716,1453378,4337917,2068264,948423,289783.0,929772
Utah,UT,2009,532433.0,4238943,535223,2224007,1479713,4419750,2169434,1008636,310325.0,821593
Utah,UT,2010,538676.0,4250259,570301,2171889,1508069,4326951,2117551,1002867,308107.0,786272
Utah,UT,2011,545395.0,4141253,500782,2058112,1582359,4195916,2157337,1018548,315664.0,592949
Utah,UT,2012,553873.0,4217360,426702,2158049,1632609,4330417,2161779,1052249,334499.0,666528
Utah,UT,2013,562315.0,4300793,409774,2235917,1655102,4584624,2361179,1097484,309365.0,698249
Utah,UT,2014,570423.0,4405929,385210,2363055,1657664,4385896,2336613,1139969,302794.0,490911
Utah,UT,2015,573913.0,4705084,400213,2487937,1816934,4537962,2367650,1166728,271400.0,606254
Utah,UT,2016,580215.0,4952923,394060,2533573,2025290,4923657,2591600,1217100,286744.0,707988
Vermont,VT,2000,99609.0,1211370,65052,711259,435059,1193813,555740,283821,29595.0,39112
Vermont,VT,2001,97715.0,1300273,60383,732580,507310,1306513,595191,303287,28777.0,62053
Vermont,VT,2002,96427.0,1387074,68819,766164,552091,1392880,628188,326292,31686.0,65657
Vermont,VT,2003,94901.0,1451171,79956,779124,592091,1440961,662999,345187,32289.0,46411
Vermont,VT,2004,93705.0,1525776,94546,801169,630061,1550157,700068,368208,34203.0,77287
Vermont,VT,2005,92819.0,1628681,95016,1090494,443171,1634534,739981,392627,36577.0,63280
Vermont,VT,2006,90850.0,1725093,102791,1153104,469198,1711762,763591,410862,37607.0,59192
Vermont,VT,2007,89329.0,1836316,97086,1237083,502147,1804519,800453,439237,41603.0,70359
Vermont,VT,2008,87919.0,1888635,94504,1290067,504064,1888133,831132,463215,44089.0,83821
Vermont,VT,2009,86320.0,1683034,102453,1336424,244157,1661019,859433,489015,49100.0,64170
Vermont,VT,2010,87750.0,1749898,173528,1326528,249842,1719870,890606,509650,47578.0,65751
Vermont,VT,2011,86982.0,1686499,106823,1329172,250504,1722515,888388,511825,53418.0,63655
Vermont,VT,2012,87968.0,1754161,124451,1372320,257390,1726321,904254,518561,54031.0,45788
Vermont,VT,2013,89200.0,1817307,114697,1431621,270989,1809138,935593,538854,57026.0,55825
Vermont,VT,2014,87990.0,1895044,102434,1495453,297157,1876197,955495,553032,59714.0,56780
Vermont,VT,2015,85184.0,1996795,105333,1546600,344862,1969415,983532,566649,61871.0,58856
Vermont,VT,2016,87974.0,2112365,111891,1614518,385956,2082696,1013209,583178,56289.0,42911
Virginia,VA,2000,1132673.0,8911426,491873,3761983,4657570,9154676,4823780,2639328,347530.0,1011384
Virginia,VA,2001,1143807.0,9493862,531724,3976620,4985518,9862715,5142049,2865861,378979.0,1113113
Virginia,VA,2002,1162045.0,9914221,624507,4002347,5287367,10209197,5373701,3003921,399357.0,1127185
Virginia,VA,2003,1175458.0,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933.0,1069375
Virginia,VA,2004,1191035.0,11151172,765353,4241483,6144336,11404055,6006830,3400515,456829.0,1125646
Virginia,VA,2005,1203697.0,12182657,826830,4871813,6484014,12385157,6565022,3699703,510204.0,1180309
Virginia,VA,2006,1213616.0,13153845,866982,5126114,7160749,13481336,7024659,3974403,538026.0,1298749
Virginia,VA,2007,1220440.0,14176385,890144,5796043,7490198,14700853,7630837,4338027,573603.0,1473546
Virginia,VA,2008,1230857.0,14768120,897627,5957786,7912707,15236306,8003167,4645375,555074.0,1528769
Virginia,VA,2009,1235064.0,15251481,914507,6317714,8019260,15510318,8194237,4813706,574858.0,1418914
Virginia,VA,2010,1244673.0,14937195,1532041,5489710,7915444,14919831,8049137,4654459,565527.0,1127484
Virginia,VA,2011,1250852.0,14655345,1427301,5351177,7876867,14675815,7861076,4602566,579290.0,1075067
Virginia,VA,2012,1257332.0,14940479,1365551,5564504,8010424,15129464,8123166,4744530,611769.0,1078796
Virginia,VA,2013,1264880.0,15322318,1108879,5874323,8339116,15634918,8445746,4874065,626080.0,1089417
Virginia,VA,2014,1273211.0,15347862,1009659,5994897,8343306,15690444,8464947,4964725,619387.0,1041633
Virginia,VA,2015,1279867.0,15857524,1012205,6240349,8604970,16113212,8755896,5075509,627473.0,1086722
Virginia,VA,2016,1283493.0,16259274,1058146,6297587,8903541,16497520,8944614,5164699,643506.0,1161323
Washington,WA,2000,1003714.0,7620930,543966,4812796,2264168,7811937,3818756,2285577,350703.0,1048059
Washington,WA,2001,1004843.0,7936037,561773,5032514,2341750,8026334,3984476,2330122,367295.0,1028063
Washington,WA,2002,1009200.0,8250593,640386,5194962,2415245,8362656,4182265,2430537,382728.0,1037135
Washington,WA,2003,1014577.0,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084.0,1189781
Washington,WA,2004,1020990.0,8790531,749399,5416352,2624780,9009980,4446860,2579078,407707.0,1217468
Washington,WA,2005,1019925.0,9141383,796450,5588494,2756439,9399603,4629347,2692637,428619.0,1292543
Washington,WA,2006,1031668.0,9679682,801941,5899155,2978586,9915617,4826779,2852334,440909.0,1422488
Washington,WA,2007,1026121.0,10350748,801339,6339782,3209627,10682397,5148806,3028183,463389.0,1624443
Washington,WA,2008,1029576.0,11195224,895642,6932500,3367082,11677666,5561706,3369299,501855.0,1797341
Washington,WA,2009,1035907.0,12025012,1385421,7146416,3493175,12240632,5984072,3464921,509407.0,1818982
Washington,WA,2010,1034735.0,11919090,1400984,6931430,3586676,11820814,5934710,3402730,503236.0,1516372
Washington,WA,2011,1042979.0,11905941,1367629,6758505,3779807,11928408,6007184,3427282,514227.0,1467334
Washington,WA,2012,1044856.0,11955582,1057045,7001110,3897427,12187889,5866729,3735795,524816.0,1552074
Washington,WA,2013,1050901.0,12242231,1042200,7159428,4040603,12097549,5911337,3777476,537261.0,1443002
Washington,WA,2014,1057773.0,13040197,1030232,7833024,4176941,12806300,6267816,4035948,549588.0,1525815
Washington,WA,2015,1072359.0,13709442,1036422,8293812,4379208,13630138,6508964,4510672,546926.0,1601069
Washington,WA,2016,1083973.0,14964364,1097684,9211201,4655479,15253296,7087365,4904575,577606.0,2204059
West Virginia,WV,2000,290982.0,2243151,210082,1365346,667723,2243563,1271988,672003,156775.0,129872
West Virginia,WV,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916
West Virginia,WV,2002,282145.0,2413744,258017,1451026,704701,2427316,1346601,710125,163018.0,194544
West Virginia,WV,2003,281591.0,2497707,267470,1519848,710389,2524444,1420396,761887,164473.0,166233
West Virginia,WV,2004,280561.0,2585084,290752,1546921,747411,2603996,1458141,784602,168905.0,181816
West Virginia,WV,2005,279456.0,2701056,329159,1607433,764464,2698703,1524187,852145,174265.0,137026
West Virginia,WV,2006,279788.0,2814536,346628,1649661,818247,2852607,1569685,897874,184320.0,187462
West Virginia,WV,2007,281298.0,2905489,353571,1677212,874706,2983267,1608247,941055,189649.0,228873
West Virginia,WV,2008,281735.0,2965828,320529,1723068,922231,3068910,1667812,945152,190634.0,249687
West Virginia,WV,2009,281908.0,3097212,355325,1793917,947970,3121728,1759397,994305,196984.0,157049
West Virginia,WV,2010,281828.0,3176874,513794,1677745,985335,3484593,1978226,1094980,204402.0,191662
West Virginia,WV,2011,282130.0,3475642,510256,1927726,1037660,3670119,2010407,1160212,211866.0,269242
West Virginia,WV,2012,282088.0,3970941,432223,2014017,1524701,3536971,1893954,1155259,220973.0,245082
West Virginia,WV,2013,282310.0,3486366,383169,2027414,1075783,3488877,1828234,1130079,225073.0,284685
West Virginia,WV,2014,280265.0,3514889,351957,2033948,1128984,3499873,1823665,1147776,222824.0,286099
West Virginia,WV,2015,279565.0,3478401,362959,1979466,1135976,3466981,1819903,1161944,233836.0,232738
West Virginia,WV,2016,276764.0,3391579,358068,1863062,1170449,3366566,1804235,1127255,236487.0,181392
Wisconsin,WI,2000,877165.0,7848352,354829,4292527,3200996,8183251,4225688,2316000,265155.0,958597
Wisconsin,WI,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973
Wisconsin,WI,2002,875216.0,8624767,450159,4682300,3492308,8863966,4642886,2601068,325160.0,863118
Wisconsin,WI,2003,875390.0,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325.0,733156
Wisconsin,WI,2004,874233.0,9183588,550729,4732025,3900834,9126345,4936038,2846939,361605.0,540870
Wisconsin,WI,2005,869301.0,9584108,565072,4770290,4248746,9433502,5128207,2944041,382137.0,472358
Wisconsin,WI,2006,869596.0,9855692,580810,5066552,4208330,9779642,5290595,3064437,400780.0,545716
Wisconsin,WI,2007,870584.0,10154985,574090,5175386,4405509,9988878,5459295,3147269,420699.0,467948
Wisconsin,WI,2008,867929.0,10619354,629423,5221550,4768381,10545964,5619617,3294291,451721.0,666877
Wisconsin,WI,2009,867035.0,10991081,1258519,4785070,4947492,10880480,5857285,3382519,473295.0,648807
Wisconsin,WI,2010,864898.0,11289720,1115342,4951919,5222459,11116821,5994721,3455651,485711.0,617744
Wisconsin,WI,2011,864251.0,11664303,1002909,5226954,5434440,11440718,6138402,3668777,479352.0,541918
Wisconsin,WI,2012,863314.0,11139967,907311,4786356,5446300,10724377,5631108,3525882,491104.0,449246
Wisconsin,WI,2013,863737.0,11097447,827432,5587013,4683002,10845059,5637545,3551036,496850.0,521352
Wisconsin,WI,2014,865119.0,11330253,830568,5709579,4790106,11255186,5685955,3616770,498431.0,767074
Wisconsin,WI,2015,861813.0,11637376,814385,5869265,4953726,11553677,5723474,3691809,513402.0,894823
Wisconsin,WI,2016,857736.0,11697466,782610,5986763,4928093,11787535,5760418,3691439,508013.0,1082849
Wyoming,WY,2000,91883.0,787323,66085,408356,312882,769923,417424,242832,24899.0,70579
Wyoming,WY,2001,89711.0,804297,69172,403021,332104,787949,426072,254937,24913.0,67913
Wyoming,WY,2002,87897.0,908719,75498,443525,389696,868607,463839,272836,27488.0,92550
Wyoming,WY,2003,85966.0,962240,84308,489199,388733,915515,473447,292271,27608.0,110312
Wyoming,WY,2004,86925.0,974888,95995,507155,371738,953916,483989,303976,28257.0,126574
Wyoming,WY,2005,84146.0,1132160,106484,585789,439887,1033603,510498,324752,29657.0,158464
Wyoming,WY,2006,86155.0,1150345,115937,507178,527230,1146527,571127,362807,34310.0,168214
Wyoming,WY,2007,85034.0,1477891,111051,722364,644476,1390344,661713,428613,42353.0,246698
Wyoming,WY,2008,85991.0,1602514,100207,846239,656068,1517325,703831,449989,43352.0,309892
Wyoming,WY,2009,86971.0,1675761,108333,945765,621663,1658156,744877,482641,47165.0,372507
Wyoming,WY,2010,87379.0,1718605,123942,880916,713747,1696177,787627,504838,49289.0,340678
Wyoming,WY,2011,88165.0,1650621,154955,878979,616687,1656850,825783,528352,52046.0,234408
Wyoming,WY,2012,89994.0,1664983,144728,851896,668359,1670728,845801,540510,53299.0,213245
Wyoming,WY,2013,91533.0,1695967,113501,881114,701352,1675477,846872,546422,52001.0,213920
Wyoming,WY,2014,92732.0,1772633,112709,965213,694711,1775999,865932,555761,50715.0,287977
Wyoming,WY,2015,93867.0,1962874,120290,1116917,725667,1942406,895910,565489,52520.0,409425
Wyoming,WY,2016,94511.0,2044669,123012,1175899,745758,2034229,921494,585700,53570.0,454302
